Date,Product Name,Product Type,Brand,Gender,Category,Country,Quantity,Unit Price ($),Amount ($),Payment Mode
2022-03-26,Fear of God Essentials Tee,T-shirt,Essentials,Men,Streetwear,Canada,5,267.71,1338.55,Cash on Delivery
2022-01-04,Nike Dunk Low,Sneakers,Nike,Men,Sportswear,USA,4,151.37,605.48,UPI
2022-03-07,Off-White Hoodie,Hoodie,Off-White,Men,Sportswear,Canada,5,89.84,449.2,Wallet
2022-04-25,Puma Joggers,Joggers,Puma,Men,Streetwear,Canada,1,276.64,276.64,Card
2022-03-15,Puma Joggers,Joggers,Puma,Unisex,Limited Edition,India,3,203.41,610.23,Card
2022-08-10,Nike Tech Fleece,Hoodie,Nike,Men,Limited Edition,UK,2,195.85,391.7,Wallet
2022-08-04,Puma Joggers,Joggers,Puma,Men,Sportswear,Australia,2,288.87,577.74,UPI
2022-05-11,Nike Tech Fleece,Hoodie,Nike,Men,Sportswear,Australia,1,65.45,65.45,Cash on Delivery
2022-01-01,Yeezy Boost 350,Sneakers,Adidas,Unisex,Casual,USA,1,202.42,202.42,Wallet
2022-03-05,Nike Tech Fleece,Hoodie,Nike,Men,Streetwear,Australia,2,51.11,102.22,Cash on Delivery
2022-07-24,New Era Cap,Cap,New Era,Men,Limited Edition,Japan,1,292.68,292.68,UPI
2022-08-10,Puma Joggers,Joggers,Puma,Women,Casual,USA,2,175.51,351.02,UPI
2022-03-13,Yeezy Boost 350,Sneakers,Adidas,Women,Sportswear,Germany,4,211.37,845.48,Card
2022-03-23,Nike Tech Fleece,Hoodie,Nike,Unisex,Casual,Germany,1,209.78,209.78,UPI
2022-05-12,Nike Dunk Low,Sneakers,Nike,Unisex,Casual,India,1,59.85,59.85,Wallet
2022-07-17,Nike Dunk Low,Sneakers,Nike,Unisex,Streetwear,Canada,3,156.27,468.81,UPI
2022-03-08,Yeezy Boost 350,Sneakers,Adidas,Unisex,Limited Edition,Australia,2,175.0,350.0,Card
2022-08-05,Off-White Hoodie,Hoodie,Off-White,Men,Casual,UK,2,88.0,176.0,Wallet
2022-07-02,Nike Dunk Low,Sneakers,Nike,Men,Casual,UK,4,293.33,1173.32,Card
2022-07-17,Nike Dunk Low,Sneakers,Nike,Unisex,Limited Edition,Germany,5,285.37,1426.85,UPI
2022-01-15,Off-White Hoodie,Hoodie,Off-White,Women,Sportswear,USA,5,220.59,1102.95,Wallet
2022-03-03,Nike Dunk Low,Sneakers,Nike,Men,Streetwear,Australia,5,214.0,1070.0,Wallet
2022-08-18,Yeezy Boost 350,Sneakers,Adidas,Unisex,Limited Edition,Germany,5,208.24,1041.2,Card
2022-06-07,Supreme Hoodie,Hoodie,Supreme,Unisex,Casual,Germany,4,133.7,534.8,UPI
2022-08-24,Fear of God Essentials Tee,T-shirt,Essentials,Men,Casual,India,2,158.7,317.4,Wallet
2022-01-19,Nike Tech Fleece,Hoodie,Nike,Women,Streetwear,UK,2,244.13,488.26,Cash on Delivery
2022-08-19,Nike Tech Fleece,Hoodie,Nike,Women,Casual,Australia,5,147.99,739.95,UPI
2022-08-11,Fear of God Essentials Tee,T-shirt,Essentials,Unisex,Casual,Japan,1,157.81,157.81,Cash on Delivery
2022-03-24,Puma Joggers,Joggers,Puma,Unisex,Streetwear,Germany,2,212.76,425.52,Wallet
2022-01-17,Adidas Ultraboost,Sneakers,Adidas,Women,Casual,Australia,3,225.9,677.7,Wallet
2022-02-09,New Era Cap,Cap,New Era,Men,Streetwear,Canada,3,112.98,338.94,Wallet
2022-05-13,New Era Cap,Cap,New Era,Unisex,Casual,Canada,2,100.84,201.68,Cash on Delivery
2022-02-03,Jordan 1 High,Sneakers,Nike,Women,Casual,Canada,4,292.75,1171.0,Wallet
2022-02-08,Nike Tech Fleece,Hoodie,Nike,Men,Streetwear,UK,3,82.62,247.86,Cash on Delivery
2022-07-18,Off-White Hoodie,Hoodie,Off-White,Men,Sportswear,Australia,3,246.13,738.39,UPI
2022-04-29,Nike Dunk Low,Sneakers,Nike,Men,Streetwear,Germany,4,168.01,672.04,Wallet
2022-08-26,Adidas Ultraboost,Sneakers,Adidas,Men,Sportswear,Japan,1,93.08,93.08,Wallet
2022-01-14,Off-White Hoodie,Hoodie,Off-White,Women,Limited Edition,Australia,3,161.55,484.65,UPI
2022-02-25,New Era Cap,Cap,New Era,Men,Casual,Germany,3,228.84,686.52,UPI
2022-05-23,Off-White Hoodie,Hoodie,Off-White,Women,Sportswear,USA,4,221.31,885.24,Card
2022-07-26,New Era Cap,Cap,New Era,Women,Sportswear,UK,2,287.68,575.36,Cash on Delivery
2022-01-16,Nike Dunk Low,Sneakers,Nike,Women,Limited Edition,UK,5,168.7,843.5,Wallet
2022-06-01,Fear of God Essentials Tee,T-shirt,Essentials,Women,Streetwear,UK,3,153.82,461.46,Cash on Delivery
2022-02-13,Adidas Ultraboost,Sneakers,Adidas,Unisex,Casual,Japan,4,281.0,1124.0,UPI
2022-03-28,Puma Joggers,Joggers,Puma,Women,Streetwear,India,5,112.4,562.0,Wallet
2022-01-20,Off-White Hoodie,Hoodie,Off-White,Unisex,Limited Edition,Canada,1,233.16,233.16,Cash on Delivery
2022-02-27,Yeezy Boost 350,Sneakers,Adidas,Unisex,Sportswear,USA,5,248.71,1243.55,Wallet
2022-05-26,Nike Tech Fleece,Hoodie,Nike,Men,Casual,Australia,5,157.2,786.0,Wallet
2022-01-29,Yeezy Boost 350,Sneakers,Adidas,Men,Limited Edition,Australia,4,113.75,455.0,Wallet
2022-04-14,Yeezy Boost 350,Sneakers,Adidas,Women,Streetwear,Germany,1,109.66,109.66,Cash on Delivery
2022-06-06,Puma Joggers,Joggers,Puma,Women,Casual,India,1,81.57,81.57,UPI
2022-02-08,Fear of God Essentials Tee,T-shirt,Essentials,Men,Casual,Canada,2,247.2,494.4,UPI
2022-05-06,Puma Joggers,Joggers,Puma,Women,Sportswear,Japan,4,250.26,1001.04,Card
2022-01-06,Adidas Ultraboost,Sneakers,Adidas,Unisex,Sportswear,Germany,1,137.2,137.2,Card
2022-03-18,Adidas Ultraboost,Sneakers,Adidas,Women,Streetwear,Canada,3,164.06,492.18,UPI
2022-02-07,Off-White Hoodie,Hoodie,Off-White,Unisex,Streetwear,USA,4,198.45,793.8,Wallet
2022-06-05,Puma Joggers,Joggers,Puma,Unisex,Limited Edition,Germany,2,162.48,324.96,Cash on Delivery
2022-06-13,Supreme Hoodie,Hoodie,Supreme,Men,Casual,UK,4,243.48,973.92,Wallet
2022-08-10,Nike Dunk Low,Sneakers,Nike,Women,Limited Edition,UK,4,183.4,733.6,Card
2022-05-05,Off-White Hoodie,Hoodie,Off-White,Men,Streetwear,UK,1,271.44,271.44,Cash on Delivery
2022-03-01,Off-White Hoodie,Hoodie,Off-White,Unisex,Limited Edition,USA,2,135.48,270.96,Cash on Delivery
2022-01-21,Fear of God Essentials Tee,T-shirt,Essentials,Men,Sportswear,Japan,5,148.46,742.3,Card
2022-07-10,New Era Cap,Cap,New Era,Men,Casual,Canada,5,251.06,1255.3,UPI
2022-03-12,New Era Cap,Cap,New Era,Unisex,Streetwear,Germany,2,195.41,390.82,Card
2022-01-22,Yeezy Boost 350,Sneakers,Adidas,Unisex,Limited Edition,India,4,206.29,825.16,Wallet
2022-05-13,New Era Cap,Cap,New Era,Women,Streetwear,Japan,4,146.09,584.36,Cash on Delivery
2022-05-26,Yeezy Boost 350,Sneakers,Adidas,Women,Limited Edition,USA,1,284.3,284.3,Card
2022-01-14,Puma Joggers,Joggers,Puma,Unisex,Limited Edition,Australia,5,289.47,1447.35,Card
2022-03-10,Nike Tech Fleece,Hoodie,Nike,Women,Sportswear,UK,2,218.25,436.5,Wallet
2022-07-08,Jordan 1 High,Sneakers,Nike,Men,Streetwear,India,4,204.62,818.48,Wallet
2022-01-03,Puma Joggers,Joggers,Puma,Women,Limited Edition,Japan,2,267.42,534.84,Cash on Delivery
2022-04-02,Supreme Hoodie,Hoodie,Supreme,Men,Casual,Germany,1,144.59,144.59,UPI
2022-08-17,Yeezy Boost 350,Sneakers,Adidas,Men,Sportswear,Canada,2,80.47,160.94,Card
2022-04-26,Nike Tech Fleece,Hoodie,Nike,Men,Casual,Canada,2,98.17,196.34,Card
2022-06-15,Off-White Hoodie,Hoodie,Off-White,Men,Sportswear,UK,2,63.76,127.52,Cash on Delivery
2022-04-06,Supreme Hoodie,Hoodie,Supreme,Men,Casual,UK,2,157.12,314.24,Card
2022-04-07,Supreme Hoodie,Hoodie,Supreme,Women,Casual,Germany,5,293.21,1466.05,Cash on Delivery
2022-03-30,Off-White Hoodie,Hoodie,Off-White,Men,Streetwear,UK,2,142.25,284.5,UPI
2022-07-02,Off-White Hoodie,Hoodie,Off-White,Men,Sportswear,Japan,1,86.17,86.17,Wallet
2022-07-09,Nike Tech Fleece,Hoodie,Nike,Women,Limited Edition,Canada,3,172.37,517.11,Card
2022-02-05,Off-White Hoodie,Hoodie,Off-White,Men,Sportswear,India,3,236.05,708.15,UPI
2022-07-11,Nike Tech Fleece,Hoodie,Nike,Men,Streetwear,UK,3,256.72,770.16,UPI
2022-06-02,Nike Dunk Low,Sneakers,Nike,Men,Limited Edition,UK,4,205.64,822.56,Wallet
2022-05-29,Off-White Hoodie,Hoodie,Off-White,Men,Streetwear,Germany,4,68.18,272.72,Cash on Delivery
2022-03-21,New Era Cap,Cap,New Era,Men,Limited Edition,Australia,4,68.97,275.88,Card
2022-06-06,Nike Tech Fleece,Hoodie,Nike,Unisex,Limited Edition,Germany,5,123.23,616.15,Wallet
2022-08-24,Nike Dunk Low,Sneakers,Nike,Women,Streetwear,Australia,5,273.0,1365.0,Card
2022-02-10,Yeezy Boost 350,Sneakers,Adidas,Women,Casual,Canada,3,225.84,677.52,Card
2022-03-01,Jordan 1 High,Sneakers,Nike,Women,Sportswear,Canada,3,235.36,706.08,Wallet
2022-03-17,Yeezy Boost 350,Sneakers,Adidas,Women,Sportswear,India,5,189.94,949.7,Cash on Delivery
2022-01-03,Off-White Hoodie,Hoodie,Off-White,Women,Casual,USA,3,110.2,330.6,Card
2022-06-29,Off-White Hoodie,Hoodie,Off-White,Unisex,Sportswear,Germany,2,54.76,109.52,Wallet
2022-06-02,Supreme Hoodie,Hoodie,Supreme,Women,Sportswear,Australia,1,296.56,296.56,UPI
2022-06-04,Yeezy Boost 350,Sneakers,Adidas,Women,Sportswear,Australia,1,296.51,296.51,Wallet
2022-04-03,Puma Joggers,Joggers,Puma,Men,Casual,India,1,89.5,89.5,UPI
2022-03-16,Yeezy Boost 350,Sneakers,Adidas,Unisex,Casual,UK,3,280.64,841.92,Card
2022-02-15,Nike Tech Fleece,Hoodie,Nike,Women,Streetwear,Canada,5,234.28,1171.4,Cash on Delivery
2022-01-01,Nike Dunk Low,Sneakers,Nike,Women,Streetwear,Japan,2,294.89,589.78,Wallet
2022-03-10,Jordan 1 High,Sneakers,Nike,Women,Sportswear,USA,1,208.24,208.24,Cash on Delivery
2022-04-08,Jordan 1 High,Sneakers,Nike,Men,Casual,India,5,94.25,471.25,Wallet
2022-08-03,Nike Tech Fleece,Hoodie,Nike,Women,Casual,Germany,5,259.0,1295.0,Card
2022-05-05,Puma Joggers,Joggers,Puma,Women,Casual,Germany,4,299.73,1198.92,Cash on Delivery
2022-05-19,Adidas Ultraboost,Sneakers,Adidas,Men,Casual,Canada,5,71.26,356.3,Cash on Delivery
2022-07-17,Nike Dunk Low,Sneakers,Nike,Women,Limited Edition,Japan,5,270.14,1350.7,Wallet
